,categories,geocodes,link,name,rating
49,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'drop_off': {'latitude': 48.13628, 'longitude': 11.557275}, 'front_door': {'latitude': 48.136323, 'longitude': 11.55725}, 'main': {'latitude': 48.136323, 'longitude': 11.55725}, 'roof': {'latitude': 48.136254, 'longitude': 11.557138}}",/v3/places/4ade0c8bf964a520bb6721e3,Best Western Atrium Hotel,7.3
50,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.111867, 'longitude': 11.547522}, 'roof': {'latitude': 48.111867, 'longitude': 11.547522}}",/v3/places/4bd773dc304fce72469433ab,Leonardo Hotel München City West,7.3
51,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.102545, 'longitude': 11.659405}, 'roof': {'latitude': 48.102545, 'longitude': 11.659405}}",/v3/places/4c1a30c7834e2d7f08782b80,Mercure Hotel Orbis Muenchen Perlach,7.2
52,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'drop_off': {'latitude': 48.151566, 'longitude': 11.537733}, 'main': {'latitude': 48.151353, 'longitude': 11.537699}, 'roof': {'latitude': 48.151353, 'longitude': 11.537699}}",/v3/places/4e2080b91fc7c0ef98572074,Hotel Nymphenburg,7.1
53,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.143191, 'longitude': 11.559889}, 'roof': {'latitude': 48.143191, 'longitude': 11.559889}}",/v3/places/4bd749d8304fce72c45133ab,KING´s Hotel First Class,7.1
54,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'drop_off': {'latitude': 48.137498, 'longitude': 11.555655}, 'main': {'latitude': 48.137635, 'longitude': 11.555656}, 'roof': {'latitude': 48.137635, 'longitude': 11.555656}}",/v3/places/52a19cbf11d2b6924ea4606b,relexa hotel München,7.1
55,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}, {'id': 19017, 'name': 'Motel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.138698, 'longitude': 11.410563}, 'roof': {'latitude': 48.138698, 'longitude': 11.410563}}",/v3/places/5572016c498e3c32bdbf33f3,Bavaria Motel,7.0
56,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.129909, 'longitude': 11.592658}, 'roof': {'latitude': 48.129909, 'longitude': 11.592658}}",/v3/places/4ade0c8cf964a520c16721e3,Hilton,7.0
57,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.131506, 'longitude': 11.628182}, 'roof': {'latitude': 48.131506, 'longitude': 11.628182}}",/v3/places/5a6037a6be707851d072f3ca,"Holiday Inn Munich - City East, an IHG Hotel",6.9
58,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.18702, 'longitude': 11.545697}, 'roof': {'latitude': 48.18702, 'longitude': 11.545697}}",/v3/places/5c93f11812f0a9002ca45f62,H2 Hotel München Olympiapark,6.9
59,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'drop_off': {'latitude': 48.14315, 'longitude': 11.558518}, 'main': {'latitude': 48.142974, 'longitude': 11.558457}, 'roof': {'latitude': 48.142974, 'longitude': 11.558457}}",/v3/places/4bf843045ec320a1017288d3,"KING's HOTEL, Center Inh. H. King e. K.",6.8
60,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'drop_off': {'latitude': 48.137432, 'longitude': 11.559614}, 'main': {'latitude': 48.137245, 'longitude': 11.559612}, 'roof': {'latitude': 48.137245, 'longitude': 11.559612}}",/v3/places/4b69f0f4f964a52057bd2be3,Courtyard Munich City Center,6.8
61,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'drop_off': {'latitude': 48.144986, 'longitude': 11.541783}, 'main': {'latitude': 48.144781, 'longitude': 11.54174}, 'roof': {'latitude': 48.144781, 'longitude': 11.54174}}",/v3/places/4b641859f964a520c39e2ae3,Citadines Apart Hotel,6.8
62,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.136504, 'longitude': 11.689692}, 'roof': {'latitude': 48.136504, 'longitude': 11.689692}}",/v3/places/52ceee7c11d24bb659e08577,H2 Hotel München Messe,6.8
63,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.167604, 'longitude': 11.58665}, 'roof': {'latitude': 48.167604, 'longitude': 11.58665}}",/v3/places/4bd1bdcf5e0cce7255eba184,Fleming's Hotel München Schwabing,6.7
64,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.136222, 'longitude': 11.564351}, 'roof': {'latitude': 48.136222, 'longitude': 11.564351}}",/v3/places/4cc840ad0fa2721e10d462b1,City Aparthotel,6.7
65,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.13866, 'longitude': 11.559966}, 'roof': {'latitude': 48.13866, 'longitude': 11.559966}}",/v3/places/4b7c5236f964a520318c2fe3,Leonardo Hotel München City Center,6.7
66,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.130642, 'longitude': 11.589687}, 'roof': {'latitude': 48.130642, 'longitude': 11.589687}}",/v3/places/4b5c9505f964a520e33729e3,Holiday Inn München - Zentrum,6.7
67,"[{'id': 19013, 'name': 'Hostel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hostel_', 'suffix': '.png'}}, {'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}, {'id': 19017, 'name': 'Motel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'drop_off': {'latitude': 48.144019, 'longitude': 11.494752}, 'main': {'latitude': 48.144137, 'longitude': 11.494764}, 'roof': {'latitude': 48.144137, 'longitude': 11.494764}}",/v3/places/542e7d55498ec8da89d88609,a&o München Laim,6.7
68,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.184679, 'longitude': 11.588091}, 'roof': {'latitude': 48.184679, 'longitude': 11.588091}}",/v3/places/56252d2b498e8cac1dba94ab,"Star Inn Hotel Premium München Domagkstrasse, by Quality",6.7
69,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.132817, 'longitude': 11.66151}, 'roof': {'latitude': 48.132817, 'longitude': 11.66151}}",/v3/places/4bc8f287762beee156bb3d38,Hotel Am Moosfeld,6.6
70,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.136536, 'longitude': 11.582325}, 'roof': {'latitude': 48.136536, 'longitude': 11.582325}}",/v3/places/4ade0c93f964a520e66721e3,Hotel Concorde,6.5
